name,minutes,nutrition,n_steps,steps,description,ingredients,ingredients
i don t feel like cooking tonight  casserole,45,"[647.6, 57.0, 57.0, 58.0, 54.0, 53.0, 16.0]",6,"['brown onion and meat in the oil , drain any excess moisture', 'remove from heat and add both cans of soup and the veggies of your choice and stir', 'salt and pepper to taste', 'pour mixture into a greased 9x9 inch baking pan', 'spoon the prepared cornbread mix over the top and spread even', 'bake in a preheated 350 degree oven for 35-45 minutes , or until cornbread is done']","this is a hearty and filling casserole for those nights when a long time in the kitchen is just out of the question. very tasty and easy to make, my family requests it often. enjoy!","['ground beef', 'onion', 'frozen vegetables', 'cream of mushroom soup', 'condensed cream of mushroom & garlic soup', 'salt & pepper', 'cooking oil', 'cornbread mix']",8
i stole the idea from mirj  sesame noodles,18,"[783.4, 46.0, 107.0, 56.0, 36.0, 21.0, 37.0]",8,"['in a large pot , cook your angel hair pasta until almost al dente', 'drain well , put in a bowl and set aside', 'in a small tupperware container with a lid , mix sesame oil , soy sauce , honey , garlic and sesame seeds', 'put the lid on the container and shake , shake , shake it like a polaroid picture', 'pour the sauce over the angel hair and toss well', ""the heat of the pasta will cook the garlic a bit so it won't be totally raw"", 'mix in the green onions and stir fry veggies', 'serve']","i love mirj's funky chicken with sesame noodles. i decided to use the noodles as my inspiration for this recipe. it's really similar but totally different. we liked it and i hope others will too! cook time is the time it takes to make the pasta. *update* since posting this, i tried adding about 1/2 teaspoon of red pepper flakes and it turned out wonderfully so i decided to add it as a suggestion.","['angel hair pasta', 'toasted sesame oil', 'soy sauce', 'honey', 'garlic', 'green onions', 'toasted sesame seeds', 'stir fry vegetables']",8
i yam what i yam two  muffins,35,"[172.8, 8.0, 61.0, 9.0, 7.0, 6.0, 9.0]",10,"['preheat oven to 375 degrees', 'add the brown sugar , flour , cinnamon to a small bowl and cut in softened butter', 'when mixture is well mixed stir in chopped pecans', 'set aside', 'spray a 12-muffin tin with non-stick cooking spray and set aside', 'combine the flours , cocoa , baking powder , cinnamon , cloves , baking soda , and salt', 'lightly beat eggs with honey , sugar , oil , mashed yams and orange juice', 'add the egg mixture and buttermilk alternately to the dry ingredients , stir until well blended', 'add orange peel to batter mixing well', 'spoon batter into prepared muffin tins , sprinkle lightly with strussel topping and bake in preheated oven for 15 to 20 minutes']","with so many people having problems finding the sorghum, i revamped the recipe. this version produces a sweeter and lighter tasting muffin.","['all-purpose flour', 'buckwheat flour', 'unsweetened cocoa', 'baking powder', 'baking soda', 'salt', 'ground cinnamon', 'ground cloves', 'honey', 'sugar', 'eggs', 'yam', 'low-fat buttermilk', 'orange rind', 'orange juice', 'canola oil', 'brown sugar', 'flour', 'cinnamon', 'butter', 'pecans']",21
i yam what i yam  muffins,45,"[171.8, 9.0, 28.0, 10.0, 8.0, 4.0, 8.0]",10,"['preheat oven to 375 degrees', 'spray muffin tin with non-stick cooking spray and set aside', 'place the raisins in a small bowl and pour the 1 / 4 cup boiling water over them', 'cover and set aside while preparing batter', 'combine the flours , cocoa , baking powder , cinnamon , cloves , baking soda , and salt', 'lightly beat eggs with sorghum , oil , mashed yams and orange juice', 'add the egg mixture and buttermilk alternately to the dry ingredients , stir until well blended', 'drain the raisins and add to batter along with orange peel', 'spoon batter into prepared muffin tins , sprinkle 1 / 4 to 1 / 2 tsp of granulated sugar over each muffin', 'bake in preheated oven for 15 to 20 minutes']","these muffins may have slightly different ingredients but the end result is a wonderful rich, moist muffin. the sugar sprinkled on top before cooking gives a slightly sweet crunch and cracked glazed appearance.","['all-purpose flour', 'buckwheat flour', 'unsweetened cocoa', 'baking powder', 'baking soda', 'salt', 'ground cinnamon', 'ground cloves', 'sorghum', 'eggs', 'yam', 'low-fat buttermilk', 'orange rind', 'orange juice', 'canola oil', 'raisins', 'boiling water', 'granulated sugar']",18
immoral  sandwich filling  loose meat,35,"[223.2, 22.0, 4.0, 7.0, 35.0, 30.0, 0.0]",6,"['brown the meat & drain fat', 'stir in sugar , mustard , beer , cayenne , garlic and salt & pepper to taste', 'simmer until liquid has mostly cooked away', 'lay slices of cheese over top of meat , then cover for about 5 minutes , with heat on very low , until cheese has melted', 'stir cheese into meat', 'serve hot , on sandwich buns or bread , or over hot potatoes or rice']","just the thing for a day when you're wanton something delicious, and a hamburger patty is just too restrictive. loosen up your inhibitions and pile some loose meat on a bun. wicked over hot, whipped potatoes as well.","['ground beef', 'sugar', 'prepared yellow mustard', 'beer', 'cayenne', 'garlic', 'salt & pepper', 'american cheese']",8
italian sandwich  pasta salad,25,"[279.2, 14.0, 12.0, 22.0, 23.0, 11.0, 12.0]",6,"['cook pasta and set aside', 'place onions , dill pickles , olives , water chestnuts , chives and peppers in a bowl', 'add oil , vinegar and spices', 'marinate for 15-20 minutes or so', 'add pasta , tomatoes , meat and cheese and toss lightly', 'serve cold']",this is a fun salad that uses the same ingredients you would in an italian sandwich. water chestnuts give it a nice crunch!!,"['tri-color spiral pasta', 'dill pickles', 'ripe olives', 'green onion', 'chives', 'sweet pepper', 'water chestnut', 'tomatoes', 'ham', 'cheese', 'olive oil', 'cider vinegar', 'onion powder', 'garlic powder', 'salt and pepper', 'italian seasoning']",16
italian  fries,15,"[241.0, 12.0, 1.0, 23.0, 10.0, 11.0, 12.0]",4,"['deep fry french fries according to package directions', 'drain well on paper towels , and transfer to a serving platter', 'season with salt and pepper , then sprinkle on remaining ingredients', 'serve with your favorite condiments']","ok, so this is not *really* italian, but it is still great with burgers! :)","['frozen french fries', 'oil', 'salt & freshly ground black pepper', 'parmesan cheese', 'oregano', 'basil', 'flat leaf parsley']",7
italian  gut busters,45,"[816.9, 100.0, 11.0, 97.0, 98.0, 180.0, 2.0]",7,"['lay out sandwich rolls on jelly roll pans / cookie sheets', 'melt butter , mix in italian dressing mix', 'using a pastry or bbq brush , graciously apply seasoned butter to the top of the""bottom bun"" and the top of the top bun', ""don't miss this step , i don't know why , but it does make a difference !"", 'here is where i create an assembly line w / the bottoms of the buns', 'layer each bun w / ham , then swiss cheese , turkey , then cheddar cheese , pepperoni , then mozzerella cheese', 'place""lids"" on buns and place in 425 degree oven for approximly 12-15 minutes , or until you see the tops start to turn golden brown']",my sister-in-law made these for us at a family get together. they are delicious!! a little messy to make but worth the effort!! have a helper and make an ,"['sandwich bun', 'good seasonings italian salad dressing mix', 'butter', 'deli turkey', 'ham', 'pepperoni', 'cheddar cheese', 'swiss cheese', 'mozzarella cheese']",9
jeanne s style  birthday cake,230,"[5467.4, 516.0, 1196.0, 135.0, 110.0, 615.0, 188.0]",25,"['to prepare base , cut shortening into dry ingredients , mix well', 'pat firmly and evenly into an 8 inch square pan and bake at 350 deg', 'f', 'for 10-12 minutes', 'cool', 'for cake: cream shortening , and sugar', 'add eggs and vanilla , beating well until fluffy', 'sift flour , baking powder and salt together', 'add to creamed mixture alternately with milk', 'pour batter into a greased and floured 8 inch square pan', 'bake at 350 deg', 'f for 25 - 40 minutes', 'frosting: in small saucepan , stir tog', 'milk and flour', 'cook , stirring constantly , until mixute is thickened and smooth', 'cool', 'on highest speed of mixer , beat cooled flour mixture with butter , shortening and vanilla until smooth and fluffy', 'blend in icing sugar and salt', 'continue beating until frosting is very fluffy', 'this will take at least 15 minutes', 'to assemble cake: place shortbread base on serving plate', 'spread with small amount of frosting', 'place cake on base', 'cover top and sides of cake with remaining frosting', 'if desired , garnish sides of cake with shaved semi-sweet chocolate']",a bakery in winnipeg is famous for this special cake and ship it to all parts of canada. a recipe request column in the winnipeg free press printed this copycat recipe submitted by a reader. enjoy !,"['shortening', 'icing sugar', 'vanilla', 'all-purpose flour', 'baking powder', 'sugar', 'eggs', 'salt', 'milk', 'butter']",10
jiffy  extra moist carrot cake,50,"[612.1, 49.0, 170.0, 25.0, 15.0, 39.0, 25.0]",8,"['preheat oven to 350 degrees', 'mix together the cake mix , pudding , nutmeg and cinnamon', 'add eggs , oil and water to this mixture', 'mix on medium speed for 1 minute', 'add the pineapple , carrots , pecans and coconut', 'blend well', 'pour into a greased 9 inch round cake pan', 'bake 25 to 30 minutes , until tooth pick inserted in the center comes out clean']","this is a very tasty, moist, carrot cake. a nice sized cake for 2 or 3 people.","['yellow cake mix', 'vanilla instant pudding mix', 'nutmeg', 'cinnamon', 'eggs', 'oil', 'water', 'crushed pineapple', 'carrot', 'pecans', 'coconut']",11
jiffy  roasted corn and jalapeno cornbread,35,"[400.2, 32.0, 43.0, 31.0, 21.0, 54.0, 14.0]",10,"['melt butter in a saut pan', 'add the corn , onion and red pepper and saut on medium heat until some of the corn kernels start to turn golden brown', 'whisk egg , corn liquid , and cream together', 'stir into corn muffin mix with a fork', 'stir in diced jalapenos and cheddar cheese', 'quickly stir in hot sauted corn and onion mixture , just mixing in slightly', 'pour into 8 x 8 buttered baking dish', 'bake at 350 for 15 minutes', 'remove cornbread , turn off oven , drizzle cornbread with honey and put back in hot oven for 5 minutes', 'remove from oven and let stand for 10 minutes before serving']","this is a moist, easy, colorful and delicious cornbread. roasting the corn adds a little nuttier flavor and the red bell pepper adds a nice color and flavor.","['whole kernel corn', 'onion', 'red bell pepper', 'butter', 'jiffy corn muffin mix', 'egg', 'heavy cream', 'jalapenos', 'sharp cheddar cheese', 'honey']",10
keep it going  german friendship cake,14450,"[724.4, 38.0, 297.0, 20.0, 18.0, 31.0, 39.0]",13,"['mix starter ingredients in a bowl and let stand at room temperature undisturbed for 24 to 36 hours', 'place starter in a medium bowl and combine it with the""first day"" ingredients', 'cover and refrigerate', 'stir once a day for 5 days', 'on the 5th day , place in a larger bowl and add the""fifth day"" ingredients', 'cover and refrigerate', 'stir once a day for 5 more days', 'remove 3 separate cups of starter and give each cup to 3 friends with the recipe and instructions', 'preheat oven to 350 degrees', 'combine all of the""tenth day"" ingredients with the remaining mixture', 'pour into a greased and floured 9 x 13"" pan', 'combine topping ingredients and sprinkle on top', 'bake for 40- 50 minutes']","yes, this sounds bizarre, but it really is tasty and i have had some that was going around for months. it is a nice thing to start at work, school, church, etc. try it...it's like a chain cake instead of a chain letter :)","['flour', 'water', 'dry yeast', 'milk', 'sugar', 'eggs', 'vegetable oil', 'baking soda', 'baking powder', 'salt', 'cinnamon', 'vanilla', 'crushed pineapple', 'raisins', 'nuts', 'butter', 'brown sugar']",17
killer  lasagna,90,"[370.5, 38.0, 21.0, 57.0, 53.0, 64.0, 3.0]",13,"['brown the sausage and ground meat and drain all the fat', 'add all the other ingredients for the meat filling and simmer on the stove , uncovered , for about 1 / 2 hour', 'i usually add a bay leaf or two', 'mix up the cheese filling and set aside in fridge until ready to use', 'put the noodles in salted water and cook until soft when poked with a fork', 'when the noodles are done , drain the noodles and rinse off with cold water so they can be handled easily', 'spray the baking pan with a non-stick spray and put a layer of noodles down on the bottom of the pan', 'it is ok to cut some of the noodles to fit into the pan if they do not fit whole', 'spread half the cheese filling over the noodels , then half of the mozarella cheese on top of that , then half of the meat sauce over the grated mozarella cheese', 'repeat layers and then top with more mozarella cheese', 'bake at 375 degrees for 30 minutes', 'let stand for 10 minutes before cutting into it', 'leftovers can be easily stored in the freezer']",this was originally my mom's recipe and used to be a favorite when we were kids. i always requested it for my birthday dinner.,"['italian sausage', 'ground beef', 'garlic', 'dried basil', 'salt', 'whole tomato', 'tomato paste', 'ricotta cheese', 'cottage cheese', 'parmesan cheese', 'parsley flakes', 'eggs', 'ground black pepper', 'lasagna noodle', 'mozzarella cheese']",15
